Pixel Coordinates: (937, 2469)
Rectangular Region Size: 200
Wavelength (nm)	Corrected Transmission	Filter Rect Sum
400	0.073699	491659.000000
401	0.073844	497847.000000
402	0.073690	504263.000000
403	0.073281	509399.000000
404	0.073454	517167.000000
405	0.073388	524687.000000
406	0.074972	537308.000000
407	0.075084	543805.000000
408	0.075050	547269.000000
409	0.074903	553175.000000
410	0.075044	560002.000000
411	0.074572	564063.000000
412	0.074349	571257.000000
413	0.074547	579357.000000
414	0.074528	581141.000000
415	0.074583	582743.000000
416	0.074721	587057.000000
417	0.073560	580207.000000
418	0.073743	584704.000000
419	0.072334	581483.000000
420	0.073055	585000.000000
421	0.073027	587815.000000
422	0.073236	591380.000000
423	0.072484	589383.000000
424	0.072924	591791.000000
425	0.073011	597224.000000
426	0.073927	603343.000000
427	0.073736	605624.000000
428	0.075478	617265.000000
429	0.075667	622832.000000
430	0.077182	633060.000000
431	0.077429	643052.000000
432	0.078557	655856.000000
433	0.079267	663958.000000
434	0.081306	681217.000000
435	0.082505	692171.000000
436	0.083648	705796.000000
437	0.085386	723771.000000
438	0.086410	733071.000000
439	0.088586	754956.000000
440	0.089628	768204.000000
441	0.092510	788665.000000
442	0.094155	826908.000000
443	0.096447	864352.000000
444	0.097390	887673.000000
445	0.100492	922639.000000
446	0.102417	947152.000000
447	0.104388	963752.000000
448	0.106345	989134.000000
449	0.107734	1009702.000000
450	0.110594	865717.000000
451	0.112345	891205.000000
452	0.114728	916493.000000
453	0.116912	939075.000000
454	0.119459	983234.000000
455	0.122727	1035245.000000
456	0.125372	1079205.000000
457	0.128449	1111716.000000
458	0.131356	1146229.000000
459	0.133486	1204012.000000
460	0.137709	1303588.000000
461	0.139613	1363193.000000
462	0.143014	1414298.000000
463	0.144723	1449131.000000
464	0.147384	1471925.000000
465	0.150856	1516083.000000
466	0.155060	1571275.000000
467	0.157440	1592303.000000
468	0.160938	1605445.000000
469	0.163970	1611304.000000
470	0.167799	1627136.000000
471	0.171193	1648110.000000
472	0.176018	1673902.000000
473	0.180157	1718269.000000
474	0.183984	1760729.000000
475	0.189877	1816668.000000
476	0.194136	1851585.000000
477	0.199255	1865969.000000
478	0.203389	1879525.000000
479	0.209421	1895396.000000
480	0.213643	1894103.000000
481	0.221068	1936039.000000
482	0.225769	1967158.000000
483	0.232481	2005624.000000
484	0.235114	2057383.000000
485	0.238314	2114298.000000
486	0.244869	2162068.000000
487	0.247302	2188063.000000
488	0.250911	2194878.000000
489	0.258922	2248933.000000
490	0.262885	2257064.000000
491	0.267875	2259084.000000
492	0.272957	2280838.000000
493	0.278899	2302137.000000
494	0.284372	2325032.000000
495	0.286602	2342112.000000
496	0.293552	2380243.000000
497	0.299123	2406539.000000
498	0.301777	2423532.000000
499	0.308088	2451025.000000
500	0.312953	2473892.000000
501	0.320066	2489744.000000
502	0.324053	2492327.000000
503	0.327189	2502704.000000
504	0.330520	2518593.000000
505	0.335604	2540978.000000
506	0.337167	2558662.000000
507	0.342028	2586119.000000
508	0.342364	2589198.000000
509	0.349487	2614783.000000
510	0.350056	2630441.000000
511	0.354072	2647509.000000
512	0.355742	2664824.000000
513	0.357323	2674057.000000
514	0.360661	2681164.000000
515	0.363398	2676576.000000
516	0.366376	2697061.000000
517	0.369392	2701840.000000
518	0.368938	2707166.000000
519	0.374245	2732276.000000
520	0.375783	2740968.000000
