Pixel Coordinates: (2793, 2373)
Rectangular Region Size: 250
Wavelength (nm)	Corrected Transmission	Filter Rect Sum
400	0.100983	1105476.000000
401	0.102109	1129417.000000
402	0.102911	1155003.000000
403	0.103662	1181142.000000
404	0.104758	1208849.000000
405	0.105777	1239054.000000
406	0.109044	1281724.000000
407	0.110071	1308960.000000
408	0.110668	1326277.000000
409	0.111612	1355606.000000
410	0.112975	1385206.000000
411	0.113189	1408620.000000
412	0.113903	1439546.000000
413	0.115201	1471902.000000
414	0.116474	1493021.000000
415	0.117730	1511967.000000
416	0.118817	1535448.000000
417	0.118251	1533353.000000
418	0.119735	1558560.000000
419	0.118443	1563620.000000
420	0.120318	1582995.000000
421	0.120988	1600999.000000
422	0.122184	1620705.000000
423	0.121562	1626031.000000
424	0.122722	1638422.000000
425	0.123194	1656279.000000
426	0.124984	1675364.000000
427	0.124730	1684515.000000
428	0.127592	1713673.000000
429	0.127593	1723539.000000
430	0.129567	1743785.000000
431	0.129151	1760529.000000
432	0.130016	1783096.000000
433	0.130000	1790274.000000
434	0.131799	1817469.000000
435	0.132066	1824794.000000
436	0.132894	1844195.000000
437	0.134748	1874442.000000
438	0.135137	1880618.000000
439	0.137207	1915915.000000
440	0.137714	1933879.000000
441	0.141028	1970548.000000
442	0.143004	2057369.000000
443	0.145859	2140086.000000
444	0.146735	2191327.000000
445	0.150817	2273528.000000
446	0.153999	2335464.000000
447	0.157485	2382205.000000
448	0.161265	2457406.000000
449	0.164088	2517890.000000
450	0.169377	2179499.000000
451	0.173668	2262106.000000
452	0.178902	2345023.000000
453	0.184163	2423463.000000
454	0.189747	2553387.000000
455	0.196662	2709408.000000
456	0.202226	2840678.000000
457	0.208511	2946337.000000
458	0.214446	3053368.000000
459	0.218620	3216819.000000
460	0.226188	3490137.000000
461	0.230366	3653108.000000
462	0.237759	3793939.000000
463	0.242968	3890527.000000
464	0.246410	3944076.000000
465	0.253116	4055195.000000
466	0.261124	4186147.000000
467	0.263502	4223562.000000
468	0.266092	4257965.000000
469	0.267847	4263371.000000
470	0.271769	4286101.000000
471	0.276055	4326474.000000
472	0.282489	4379922.000000
473	0.288251	4483521.000000
474	0.293661	4580860.000000
475	0.301978	4709376.000000
476	0.308181	4784955.000000
477	0.315392	4815413.000000
478	0.321295	4842438.000000
479	0.330372	4877942.000000
480	0.336443	4871798.000000
481	0.348036	4977561.000000
482	0.355127	5051068.000000
483	0.365779	5149447.000000
484	0.369304	5275240.000000
485	0.374136	5418711.000000
486	0.383744	5537401.000000
487	0.387237	5598639.000000
488	0.392185	5606486.000000
489	0.404323	5739266.000000
490	0.409509	5754795.000000
491	0.416388	5751784.000000
492	0.423597	5799770.000000
493	0.431968	5842171.000000
494	0.439291	5888480.000000
495	0.442269	5919305.000000
496	0.452771	6010540.000000
497	0.461015	6069364.000000
498	0.464086	6097338.000000
499	0.472711	6155611.000000
500	0.479050	6203452.000000
501	0.488592	6233102.000000
502	0.493266	6223063.000000
503	0.497489	6245453.000000
504	0.500854	6269691.000000
505	0.507844	6320483.000000
506	0.509872	6358291.000000
507	0.517330	6423955.000000
508	0.517674	6424619.000000
509	0.528383	6479566.000000
510	0.529822	6517460.000000
511	0.535936	6552526.000000
512	0.538812	6595665.000000
513	0.540558	6607472.000000
514	0.544871	6616761.000000
515	0.547520	6594130.000000
516	0.552784	6659617.000000
517	0.556800	6669733.000000
518	0.555406	6675465.000000
519	0.564366	6751281.000000
520	0.565712	6762561.000000
