Pixel Coordinates: (601, 1775)
Rectangular Region Size: 300
Wavelength (nm)	Corrected Transmission	Filter Rect Sum
400	0.083354	1330205.000000
401	0.084050	1355388.000000
402	0.084645	1386054.000000
403	0.084903	1412310.000000
404	0.085578	1442967.000000
405	0.086203	1475267.000000
406	0.088748	1523319.000000
407	0.089378	1551999.000000
408	0.089645	1568886.000000
409	0.090054	1596930.000000
410	0.090778	1625345.000000
411	0.090654	1643746.000000
412	0.090844	1670138.000000
413	0.091361	1697637.000000
414	0.091607	1708801.000000
415	0.091605	1713660.000000
416	0.091576	1723286.000000
417	0.089789	1698570.000000
418	0.089688	1705123.000000
419	0.087605	1689536.000000
420	0.087814	1686003.000000
421	0.086927	1679405.000000
422	0.086604	1677426.000000
423	0.085100	1659524.000000
424	0.084830	1652983.000000
425	0.084337	1655092.000000
426	0.084778	1657757.000000
427	0.084191	1654985.000000
428	0.085960	1681346.000000
429	0.085821	1689334.000000
430	0.087139	1711806.000000
431	0.087447	1742886.000000
432	0.089058	1787129.000000
433	0.090604	1823763.000000
434	0.093874	1890306.000000
435	0.096506	1945776.000000
436	0.099907	2024213.000000
437	0.104458	2123589.000000
438	0.108387	2205168.000000
439	0.114376	2336734.000000
440	0.119487	2459040.000000
441	0.127859	2619529.000000
442	0.135864	2864451.000000
443	0.144910	3116929.000000
444	0.151822	3323749.000000
445	0.161811	3567339.000000
446	0.170340	3780049.000000
447	0.178402	3959114.000000
448	0.186769	4181270.000000
449	0.194653	4382008.000000
450	0.207369	3916059.000000
451	0.215830	4127859.000000
452	0.224846	4333047.000000
453	0.233459	4523684.000000
454	0.242082	4804478.000000
455	0.251762	5119125.000000
456	0.259960	5389976.000000
457	0.268763	5610149.000000
458	0.276715	5826462.000000
459	0.282550	6152308.000000
460	0.292923	6673517.000000
461	0.303778	7000740.000000
462	0.315615	7280757.000000
463	0.324060	7478205.000000
464	0.329385	7600481.000000
465	0.338797	7818359.000000
466	0.349981	8077632.000000
467	0.354310	8177195.000000
468	0.357245	8242700.000000
469	0.358289	8259554.000000
470	0.361708	8318105.000000
471	0.366110	8395902.000000
472	0.372976	8497465.000000
473	0.380446	8684067.000000
474	0.387354	8853787.000000
475	0.397153	9072844.000000
476	0.403259	9186954.000000
477	0.410522	9212967.000000
478	0.416898	9235129.000000
479	0.426699	9271218.000000
480	0.433014	9220036.000000
481	0.445306	9375510.000000
482	0.451315	9458716.000000
483	0.461485	9580865.000000
484	0.463480	9752942.000000
485	0.467411	9958488.000000
486	0.477283	10129102.000000
487	0.479709	10201850.000000
488	0.483318	10172164.000000
489	0.496453	10375743.000000
490	0.500899	10355861.000000
491	0.508109	10320543.000000
492	0.515838	10378535.000000
493	0.524990	10428689.000000
494	0.532855	10479672.000000
495	0.534246	10493591.000000
496	0.545550	10631074.000000
497	0.553615	10701354.000000
498	0.556582	10731408.000000
499	0.566316	10815829.000000
500	0.573620	10885839.000000
501	0.584412	10922781.000000
502	0.589481	10892573.000000
503	0.593500	10913463.000000
504	0.597711	10960114.000000
505	0.605760	11044868.000000
506	0.608239	11109318.000000
507	0.617488	11226063.000000
508	0.617493	11216853.000000
509	0.628757	11290693.000000
510	0.630136	11359511.000000
511	0.637237	11435202.000000
512	0.640285	11515569.000000
513	0.643153	11549946.000000
514	0.648711	11577134.000000
515	0.652042	11539797.000000
516	0.658490	11660856.000000
517	0.664307	11685704.000000
518	0.663632	11707796.000000
519	0.675497	11857704.000000
520	0.678386	11903187.000000
