Pixel Coordinates: (1905, 1467)
Rectangular Region Size: 300
Wavelength (nm)	Corrected Transmission	Filter Rect Sum
400	0.093820	1650107.000000
401	0.095097	1690504.000000
402	0.096228	1738232.000000
403	0.097524	1790788.000000
404	0.099128	1846863.000000
405	0.100919	1910050.000000
406	0.105207	1999404.000000
407	0.107337	2067284.000000
408	0.109330	2123659.000000
409	0.111639	2197133.000000
410	0.114526	2273920.000000
411	0.116369	2341526.000000
412	0.118476	2420683.000000
413	0.121280	2504061.000000
414	0.123730	2565056.000000
415	0.126143	2620542.000000
416	0.128446	2685628.000000
417	0.128816	2704476.000000
418	0.131671	2776264.000000
419	0.131450	2810338.000000
420	0.134529	2867517.000000
421	0.136474	2925194.000000
422	0.139030	2987440.000000
423	0.139435	3020669.000000
424	0.141795	3067790.000000
425	0.143671	3130686.000000
426	0.147009	3192602.000000
427	0.147637	3228026.000000
428	0.152082	3308841.000000
429	0.152989	3350508.000000
430	0.156518	3422777.000000
431	0.156903	3480279.000000
432	0.158792	3549212.000000
433	0.159395	3578538.000000
434	0.162238	3642540.000000
435	0.162838	3657668.000000
436	0.163745	3689016.000000
437	0.165079	3725267.000000
438	0.164540	3710140.000000
439	0.165807	3747136.000000
440	0.164635	3741095.000000
441	0.166669	3772384.000000
442	0.168330	3874812.000000
443	0.172122	3970441.000000
444	0.173083	3994412.000000
445	0.176951	4084115.000000
446	0.179048	4132827.000000
447	0.180406	4164161.000000
448	0.183599	4238193.000000
449	0.185908	4291616.000000
450	0.176589	3699460.000000
451	0.180248	3821235.000000
452	0.185769	3961655.000000
453	0.192055	4111704.000000
454	0.200123	4382868.000000
455	0.211177	4734474.000000
456	0.222359	5067448.000000
457	0.235167	5380908.000000
458	0.249132	5724750.000000
459	0.271763	6270656.000000
460	0.308400	7119719.000000
461	0.334497	7723286.000000
462	0.357768	8260963.000000
463	0.375998	8682080.000000
464	0.389967	9004524.000000
465	0.410297	9474019.000000
466	0.433510	10010316.000000
467	0.444733	10269326.000000
468	0.454125	10485878.000000
469	0.459984	10620606.000000
470	0.467067	10783594.000000
471	0.477069	11013947.000000
472	0.487895	11263206.000000
473	0.504016	11635763.000000
474	0.517394	11944738.000000
475	0.533539	12317593.000000
476	0.542392	12521689.000000
477	0.545584	12593933.000000
478	0.547571	12638224.000000
479	0.549844	12686251.000000
480	0.545290	12568169.000000
481	0.555074	12766542.000000
482	0.560127	12863931.000000
483	0.570471	13043132.000000
484	0.576259	13262622.000000
485	0.586898	13531362.000000
486	0.595560	13726169.000000
487	0.597345	13770763.000000
488	0.593617	13668142.000000
489	0.605841	13928184.000000
490	0.605014	13855419.000000
491	0.607952	13747177.000000
492	0.614049	13762750.000000
493	0.621196	13758446.000000
494	0.626482	13748629.000000
495	0.625548	13703311.000000
496	0.637671	13854677.000000
497	0.645200	13899261.000000
498	0.645863	13875715.000000
499	0.654936	13934859.000000
500	0.660210	13961460.000000
501	0.669171	13944970.000000
502	0.671519	13849218.000000
503	0.674089	13843613.000000
504	0.675994	13853448.000000
505	0.683138	13927039.000000
506	0.682836	13952206.000000
507	0.690490	14047267.000000
508	0.687535	13966728.000000
509	0.694230	13950306.000000
510	0.694509	14018940.000000
511	0.700141	14066130.000000
512	0.701424	14128590.000000
513	0.701015	14104406.000000
514	0.703122	14066563.000000
515	0.702853	13946012.000000
516	0.707917	14055610.000000
517	0.711109	14037777.000000
518	0.707345	14022912.000000
519	0.718358	14176541.000000
520	0.718409	14166520.000000
