Pixel Coordinates: (2557, 1655)
Rectangular Region Size: 250
Wavelength (nm)	Corrected Transmission	Filter Rect Sum
400	0.300791	3607015.000000
401	0.303125	3671746.000000
402	0.304245	3744388.000000
403	0.305637	3822656.000000
404	0.308296	3909943.000000
405	0.311304	4012700.000000
406	0.321873	4166959.000000
407	0.325730	4273336.000000
408	0.329100	4353466.000000
409	0.333767	4475419.000000
410	0.339853	4599024.000000
411	0.342760	4701493.000000
412	0.346283	4824025.000000
413	0.352188	4957358.000000
414	0.357388	5048149.000000
415	0.362153	5125431.000000
416	0.366398	5218883.000000
417	0.365256	5223786.000000
418	0.371634	5336934.000000
419	0.369031	5375292.000000
420	0.375779	5456683.000000
421	0.378557	5526789.000000
422	0.382998	5608501.000000
423	0.382047	5641774.000000
424	0.386484	5697885.000000
425	0.388814	5772414.000000
426	0.394791	5842377.000000
427	0.393325	5862876.000000
428	0.403079	5976032.000000
429	0.403373	6020134.000000
430	0.410594	6118510.000000
431	0.409371	6186972.000000
432	0.412669	6280664.000000
433	0.413605	6320842.000000
434	0.420334	6427658.000000
435	0.421054	6443844.000000
436	0.422616	6482262.000000
437	0.425561	6534424.000000
438	0.423833	6504439.000000
439	0.427253	6572515.000000
440	0.424070	6561173.000000
441	0.429104	6608858.000000
442	0.429319	6786888.000000
443	0.434908	6945732.000000
444	0.435888	6982538.000000
445	0.444475	7123648.000000
446	0.447473	7173277.000000
447	0.447792	7178089.000000
448	0.451753	7243014.000000
449	0.452395	7253885.000000
450	0.428814	6115795.000000
451	0.429995	6209203.000000
452	0.434351	6304634.000000
453	0.437771	6380995.000000
454	0.443210	6603026.000000
455	0.453527	6911084.000000
456	0.462617	7186395.000000
457	0.474689	7415205.000000
458	0.487190	7668015.000000
459	0.506399	8104346.000000
460	0.554893	8898753.000000
461	0.586349	9406018.000000
462	0.614302	9855284.000000
463	0.633080	10157122.000000
464	0.644299	10336878.000000
465	0.665788	10681801.000000
466	0.691188	11089872.000000
467	0.698488	11206764.000000
468	0.703715	11289811.000000
469	0.703474	11284882.000000
470	0.706146	11326456.000000
471	0.712061	11420178.000000
472	0.718631	11524179.000000
473	0.734192	11774422.000000
474	0.746527	11972585.000000
475	0.762801	12233700.000000
476	0.768063	12317376.000000
477	0.764425	12255918.000000
478	0.759684	12175760.000000
479	0.757064	12114893.000000
480	0.747903	11896608.000000
481	0.760464	11999639.000000
482	0.763741	12004154.000000
483	0.775000	12081219.000000
484	0.771301	12178914.000000
485	0.775377	12341767.000000
486	0.783920	12452751.000000
487	0.781468	12431964.000000
488	0.776427	12278220.000000
489	0.791795	12459172.000000
490	0.789391	12317792.000000
491	0.789660	12130797.000000
492	0.793294	12079268.000000
493	0.798391	12016776.000000
494	0.801304	11950991.000000
495	0.796143	11849554.000000
496	0.808466	11931224.000000
497	0.814592	11911635.000000
498	0.811163	11830802.000000
499	0.818225	11828063.000000
500	0.820859	11802371.000000
501	0.828819	11742123.000000
502	0.827223	11597902.000000
503	0.826265	11541934.000000
504	0.825197	11505447.000000
505	0.830769	11528156.000000
506	0.827969	11515822.000000
507	0.835040	11566298.000000
508	0.828182	11460789.000000
509	0.834040	11412548.000000
510	0.832860	11438699.000000
511	0.837832	11446714.000000
512	0.837577	11467573.000000
513	0.835192	11420543.000000
514	0.836090	11362271.000000
515	0.833036	11230163.000000
516	0.837958	11306830.000000
517	0.839878	11271458.000000
518	0.833110	11227405.000000
519	0.844370	11336439.000000
520	0.842881	11311463.000000
