Pixel Coordinates: (2365, 2351)
Rectangular Region Size: 250
Wavelength (nm)	Corrected Transmission	Filter Rect Sum
400	0.101780	1126419.000000
401	0.103457	1157282.000000
402	0.104831	1190065.000000
403	0.106208	1223915.000000
404	0.107834	1258719.000000
405	0.109403	1296719.000000
406	0.113277	1347074.000000
407	0.114819	1381940.000000
408	0.116078	1407736.000000
409	0.117484	1444256.000000
410	0.119478	1482341.000000
411	0.120299	1514490.000000
412	0.121616	1554137.000000
413	0.123398	1594975.000000
414	0.125220	1623739.000000
415	0.126953	1648711.000000
416	0.128460	1678654.000000
417	0.128259	1681830.000000
418	0.130120	1712789.000000
419	0.128964	1721242.000000
420	0.131005	1742403.000000
421	0.131526	1759799.000000
422	0.132473	1776815.000000
423	0.131303	1775052.000000
424	0.131928	1780666.000000
425	0.131604	1788806.000000
426	0.132456	1794752.000000
427	0.131019	1788690.000000
428	0.132726	1802672.000000
429	0.131361	1795013.000000
430	0.132075	1798128.000000
431	0.130164	1795110.000000
432	0.129630	1799200.000000
433	0.128373	1789271.000000
434	0.129111	1800778.000000
435	0.128423	1793980.000000
436	0.128213	1799382.000000
437	0.129074	1816830.000000
438	0.129047	1816797.000000
439	0.131004	1850187.000000
440	0.131682	1870372.000000
441	0.135668	1916934.000000
442	0.138832	2019170.000000
443	0.143471	2126403.000000
444	0.146754	2212686.000000
445	0.153863	2338532.000000
446	0.160189	2450091.000000
447	0.167276	2552970.000000
448	0.175439	2697659.000000
449	0.183609	2841982.000000
450	0.198514	2582749.000000
451	0.209065	2752798.000000
452	0.220420	2922823.000000
453	0.232206	3091904.000000
454	0.244369	3329074.000000
455	0.258405	3604935.000000
456	0.269957	3844104.000000
457	0.282799	4048017.000000
458	0.294312	4247471.000000
459	0.304240	4533022.000000
460	0.318300	4965952.000000
461	0.329914	5248007.000000
462	0.343997	5487722.000000
463	0.354359	5661350.000000
464	0.361449	5773143.000000
465	0.372666	5955199.000000
466	0.385380	6162153.000000
467	0.390422	6241779.000000
468	0.394610	6301894.000000
469	0.396637	6319502.000000
470	0.401005	6357010.000000
471	0.406516	6416696.000000
472	0.414541	6487992.000000
473	0.421679	6618055.000000
474	0.427813	6729336.000000
475	0.436767	6868908.000000
476	0.442814	6939188.000000
477	0.450138	6948303.000000
478	0.456179	6953708.000000
479	0.466402	6964458.000000
480	0.471357	6909747.000000
481	0.483104	6997403.000000
482	0.488572	7043027.000000
483	0.498474	7118920.000000
484	0.498299	7218747.000000
485	0.500562	7346235.000000
486	0.508977	7440989.000000
487	0.510200	7472483.000000
488	0.513554	7439545.000000
489	0.525529	7562240.000000
490	0.529270	7539289.000000
491	0.535241	7495923.000000
492	0.541608	7516783.000000
493	0.549409	7532057.000000
494	0.555417	7547737.000000
495	0.555986	7547560.000000
496	0.566178	7625483.000000
497	0.574099	7669257.000000
498	0.575615	7676579.000000
499	0.583689	7716190.000000
500	0.589604	7747772.000000
501	0.599158	7755074.000000
502	0.603151	7721084.000000
503	0.606702	7729700.000000
504	0.609807	7745875.000000
505	0.616916	7791676.000000
506	0.617526	7818521.000000
507	0.624410	7875862.000000
508	0.623397	7856866.000000
509	0.635699	7918964.000000
510	0.636611	7957946.000000
511	0.643008	7993140.000000
512	0.644821	8032779.000000
513	0.645770	8031635.000000
514	0.649981	8027547.000000
515	0.652531	7987774.000000
516	0.658243	8057446.000000
517	0.662914	8066990.000000
518	0.660951	8070608.000000
519	0.671027	8155472.000000
520	0.672462	8163115.000000
