Pixel Coordinates: (1957, 2243)
Rectangular Region Size: 250
Wavelength (nm)	Corrected Transmission	Filter Rect Sum
400	0.137064	1544042.000000
401	0.137762	1568191.000000
402	0.137989	1595044.000000
403	0.138178	1621979.000000
404	0.138766	1650770.000000
405	0.139305	1682514.000000
406	0.143013	1732200.000000
407	0.143645	1760654.000000
408	0.143881	1777289.000000
409	0.144251	1806381.000000
410	0.145435	1838608.000000
411	0.145163	1862495.000000
412	0.145413	1894782.000000
413	0.146292	1928702.000000
414	0.147197	1947759.000000
415	0.148236	1965065.000000
416	0.148926	1985863.000000
417	0.147659	1974959.000000
418	0.148782	1997543.000000
419	0.146698	1996547.000000
420	0.148259	2010911.000000
421	0.148188	2021547.000000
422	0.148639	2032830.000000
423	0.147019	2027287.000000
424	0.147526	2030895.000000
425	0.147056	2039814.000000
426	0.147995	2046874.000000
427	0.146671	2043462.000000
428	0.148993	2065043.000000
429	0.148001	2064277.000000
430	0.149176	2073966.000000
431	0.147487	2077177.000000
432	0.147296	2087896.000000
433	0.146483	2084900.000000
434	0.147788	2104400.000000
435	0.147363	2101857.000000
436	0.147120	2109380.000000
437	0.148026	2128702.000000
438	0.147871	2126512.000000
439	0.149588	2157130.000000
440	0.149479	2168112.000000
441	0.152505	2199567.000000
442	0.153704	2281416.000000
443	0.156139	2362285.000000
444	0.156965	2414248.000000
445	0.161164	2498160.000000
446	0.164105	2560833.000000
447	0.167633	2611516.000000
448	0.171513	2690636.000000
449	0.175054	2761569.000000
450	0.183387	2430891.000000
451	0.188094	2524169.000000
452	0.193806	2620274.000000
453	0.199535	2711094.000000
454	0.205488	2858221.000000
455	0.212543	3030274.000000
456	0.218158	3173010.000000
457	0.224808	3286649.000000
458	0.230340	3399061.000000
459	0.234129	3566763.000000
460	0.241467	3840729.000000
461	0.249369	4001642.000000
462	0.257719	4137480.000000
463	0.263321	4227979.000000
464	0.266636	4281083.000000
465	0.273182	4386362.000000
466	0.280826	4509397.000000
467	0.283104	4545881.000000
468	0.284666	4570518.000000
469	0.284761	4570527.000000
470	0.286094	4585840.000000
471	0.288461	4615063.000000
472	0.292267	4650866.000000
473	0.296413	4725371.000000
474	0.300237	4794011.000000
475	0.305986	4886606.000000
476	0.309341	4930554.000000
477	0.313205	4932132.000000
478	0.316684	4930635.000000
479	0.323568	4936193.000000
480	0.326985	4898953.000000
481	0.334956	4960683.000000
482	0.338653	4993175.000000
483	0.345595	5048820.000000
484	0.345394	5119784.000000
485	0.346846	5207317.000000
486	0.352880	5275693.000000
487	0.353810	5299438.000000
488	0.356373	5280277.000000
489	0.364588	5365233.000000
490	0.367507	5353767.000000
491	0.371971	5325930.000000
492	0.376588	5341190.000000
493	0.381946	5352283.000000
494	0.386169	5365892.000000
495	0.386647	5371604.000000
496	0.393811	5428548.000000
497	0.399146	5459126.000000
498	0.400337	5467063.000000
499	0.406234	5498224.000000
500	0.410816	5522310.000000
501	0.417919	5532439.000000
502	0.421390	5516826.000000
503	0.423996	5524298.000000
504	0.426214	5536983.000000
505	0.431139	5567939.000000
506	0.431774	5587327.000000
507	0.436712	5629844.000000
508	0.436444	5623348.000000
509	0.444483	5662557.000000
510	0.444678	5687668.000000
511	0.448738	5712137.000000
512	0.449959	5740162.000000
513	0.450831	5745202.000000
514	0.454000	5748294.000000
515	0.456523	5727640.000000
516	0.460244	5771971.000000
517	0.463711	5777404.000000
518	0.462566	5780634.000000
519	0.468807	5829687.000000
520	0.469640	5836165.000000
