Pixel Coordinates: (665, 1127)
Rectangular Region Size: 300
Wavelength (nm)	Corrected Transmission	Filter Rect Sum
400	0.127568	2150023.000000
401	0.129088	2198492.000000
402	0.130269	2252579.000000
403	0.131347	2306915.000000
404	0.132586	2362973.000000
405	0.134006	2425825.000000
406	0.138196	2511566.000000
407	0.139622	2570663.000000
408	0.140438	2608561.000000
409	0.141877	2668054.000000
410	0.143742	2726349.000000
411	0.144490	2773179.000000
412	0.145444	2830643.000000
413	0.147026	2891584.000000
414	0.148484	2934269.000000
415	0.149894	2970487.000000
416	0.151325	3016947.000000
417	0.150389	3015119.000000
418	0.152200	3065665.000000
419	0.150785	3079886.000000
420	0.153070	3114784.000000
421	0.153822	3147414.000000
422	0.155270	3184875.000000
423	0.154685	3193883.000000
424	0.155959	3217531.000000
425	0.156563	3252774.000000
426	0.158461	3279948.000000
427	0.157603	3279972.000000
428	0.160330	3323141.000000
429	0.159431	3329214.000000
430	0.160436	3346198.000000
431	0.158750	3359540.000000
432	0.158301	3377323.000000
433	0.157309	3366932.000000
434	0.158280	3386026.000000
435	0.157515	3369509.000000
436	0.156922	3368087.000000
437	0.157123	3381266.000000
438	0.155878	3356243.000000
439	0.156634	3383893.000000
440	0.155102	3376248.000000
441	0.157106	3408504.000000
442	0.157076	3507579.000000
443	0.158597	3608394.000000
444	0.159392	3662986.000000
445	0.163898	3773995.000000
446	0.167496	3861021.000000
447	0.170842	3938172.000000
448	0.176161	4063705.000000
449	0.181794	4194539.000000
450	0.187885	3775640.000000
451	0.195121	3965886.000000
452	0.203542	4167757.000000
453	0.212725	4377878.000000
454	0.223065	4700573.000000
455	0.236249	5096146.000000
456	0.247956	5456328.000000
457	0.260632	5778885.000000
458	0.273224	6108863.000000
459	0.287090	6589832.000000
460	0.316846	7313303.000000
461	0.338380	7812743.000000
462	0.356856	8239897.000000
463	0.370699	8559855.000000
464	0.380477	8785490.000000
465	0.395081	9122713.000000
466	0.411656	9505864.000000
467	0.420078	9700226.000000
468	0.426418	9846204.000000
469	0.430004	9928188.000000
470	0.434518	10031493.000000
471	0.440870	10177172.000000
472	0.447907	10338080.000000
473	0.458801	10590235.000000
474	0.468255	10808492.000000
475	0.479945	11078411.000000
476	0.486063	11218775.000000
477	0.488036	11258931.000000
478	0.489708	11284929.000000
479	0.494285	11322248.000000
480	0.498866	11252257.000000
481	0.512292	11431812.000000
482	0.518638	11523257.000000
483	0.529699	11662645.000000
484	0.530747	11846311.000000
485	0.534646	12061641.000000
486	0.544773	12232842.000000
487	0.546920	12297123.000000
488	0.550393	12249331.000000
489	0.564121	12472925.000000
490	0.568280	12444158.000000
491	0.575131	12387879.000000
492	0.582497	12428286.000000
493	0.591375	12464305.000000
494	0.598781	12496738.000000
495	0.599864	12498901.000000
496	0.611941	12641213.000000
497	0.619631	12692500.000000
498	0.622018	12696399.000000
499	0.631165	12763944.000000
500	0.637787	12822948.000000
501	0.648780	12851619.000000
502	0.653655	12809170.000000
503	0.657183	12826429.000000
504	0.660399	12853559.000000
505	0.667619	12924629.000000
506	0.668424	12963405.000000
507	0.676758	13060608.000000
508	0.676206	13029609.000000
509	0.685317	13047029.000000
510	0.686818	13121932.000000
511	0.692968	13179819.000000
512	0.694258	13249300.000000
513	0.694961	13261946.000000
514	0.699152	13266966.000000
515	0.701346	13204664.000000
516	0.707078	13328049.000000
517	0.712214	13340678.000000
518	0.709173	13337112.000000
519	0.720265	13479232.000000
520	0.722153	13499056.000000
