Pixel Coordinates: (1541, 2047)
Rectangular Region Size: 250
Wavelength (nm)	Corrected Transmission	Filter Rect Sum
400	0.083393	949472.000000
401	0.084596	973372.000000
402	0.085408	998413.000000
403	0.086194	1024134.000000
404	0.087274	1051359.000000
405	0.088318	1080388.000000
406	0.091523	1122921.000000
407	0.092657	1150433.000000
408	0.093509	1170032.000000
409	0.094496	1198242.000000
410	0.095886	1227767.000000
411	0.096405	1252103.000000
412	0.097209	1281562.000000
413	0.098588	1314011.000000
414	0.099824	1334728.000000
415	0.100894	1351849.000000
416	0.101851	1372626.000000
417	0.101170	1367867.000000
418	0.102154	1387450.000000
419	0.100684	1387026.000000
420	0.101733	1397044.000000
421	0.101519	1402981.000000
422	0.101694	1409524.000000
423	0.100200	1400358.000000
424	0.100093	1397250.000000
425	0.099439	1397887.000000
426	0.099605	1395954.000000
427	0.098153	1385311.000000
428	0.099244	1394032.000000
429	0.098033	1385258.000000
430	0.098413	1386421.000000
431	0.097068	1385380.000000
432	0.096923	1391380.000000
433	0.096339	1388441.000000
434	0.097365	1404780.000000
435	0.097449	1408932.000000
436	0.098194	1426232.000000
437	0.099920	1455520.000000
438	0.101019	1471962.000000
439	0.104012	1520123.000000
440	0.106165	1560913.000000
441	0.111502	1629890.000000
442	0.116827	1756356.000000
443	0.123524	1893119.000000
444	0.129135	2012757.000000
445	0.138195	2169876.000000
446	0.146633	2316709.000000
447	0.155371	2451928.000000
448	0.165614	2628793.000000
449	0.176066	2805485.000000
450	0.189230	2545792.000000
451	0.200923	2737923.000000
452	0.213508	2930458.000000
453	0.226106	3118548.000000
454	0.239296	3376669.000000
455	0.254043	3673296.000000
456	0.266771	3933664.000000
457	0.280319	4154073.000000
458	0.292197	4368534.000000
459	0.302469	4670967.000000
460	0.320986	5136547.000000
461	0.338766	5438595.000000
462	0.354729	5695742.000000
463	0.366111	5878965.000000
464	0.373422	5996287.000000
465	0.385333	6187662.000000
466	0.398901	6405847.000000
467	0.404292	6492292.000000
468	0.408284	6555944.000000
469	0.409732	6578266.000000
470	0.412401	6618756.000000
471	0.416576	6682266.000000
472	0.422291	6761009.000000
473	0.430461	6897248.000000
474	0.437902	7019663.000000
475	0.447253	7169073.000000
476	0.452339	7245065.000000
477	0.456443	7258736.000000
478	0.461278	7269247.000000
479	0.470944	7287509.000000
480	0.476812	7243902.000000
481	0.488520	7339192.000000
482	0.494413	7391803.000000
483	0.505037	7475567.000000
484	0.505639	7587688.000000
485	0.508027	7718562.000000
486	0.516436	7820506.000000
487	0.517500	7858245.000000
488	0.521131	7831986.000000
489	0.532976	7952011.000000
490	0.537308	7935828.000000
491	0.543963	7901819.000000
492	0.550474	7929103.000000
493	0.558431	7948875.000000
494	0.564936	7971134.000000
495	0.565739	7977593.000000
496	0.576032	8059186.000000
497	0.583489	8102039.000000
498	0.585896	8114465.000000
499	0.594841	8161566.000000
500	0.600992	8195513.000000
501	0.612141	8211843.000000
502	0.617778	8189283.000000
503	0.621437	8197916.000000
504	0.625017	8219210.000000
505	0.632522	8269958.000000
506	0.633944	8302518.000000
507	0.641114	8365139.000000
508	0.640167	8354504.000000
509	0.649956	8396362.000000
510	0.650290	8437867.000000
511	0.656448	8477450.000000
512	0.658649	8521430.000000
513	0.660746	8530824.000000
514	0.665884	8534047.000000
515	0.669440	8505239.000000
516	0.673964	8569291.000000
517	0.679293	8583671.000000
518	0.678025	8595188.000000
519	0.687505	8677680.000000
520	0.688674	8693537.000000
