Pixel Coordinates: (2713, 2873)
Rectangular Region Size: 200
Wavelength (nm)	Corrected Transmission	Filter Rect Sum
400	0.212689	1396631.000000
401	0.214863	1424304.000000
402	0.216401	1453274.000000
403	0.217352	1478738.000000
404	0.219062	1506474.000000
405	0.220853	1538960.000000
406	0.227195	1586979.000000
407	0.228823	1615274.000000
408	0.230052	1634722.000000
409	0.231753	1667003.000000
410	0.234647	1701621.000000
411	0.234864	1727465.000000
412	0.235655	1758757.000000
413	0.237363	1790833.000000
414	0.238644	1806688.000000
415	0.239760	1819784.000000
416	0.240181	1834460.000000
417	0.236928	1817690.000000
418	0.238070	1832958.000000
419	0.233624	1823003.000000
420	0.234981	1825807.000000
421	0.233571	1825219.000000
422	0.233089	1824724.000000
423	0.229165	1807770.000000
424	0.228462	1798988.000000
425	0.226446	1795629.000000
426	0.226725	1791849.000000
427	0.223638	1778280.000000
428	0.226450	1789416.000000
429	0.224166	1779688.000000
430	0.225338	1782944.000000
431	0.223138	1790270.000000
432	0.224186	1810639.000000
433	0.224293	1820240.000000
434	0.228076	1855443.000000
435	0.229604	1873433.000000
436	0.232607	1907813.000000
437	0.238456	1961699.000000
438	0.241533	1990610.000000
439	0.248250	2055466.000000
440	0.252482	2105307.000000
441	0.263156	2185831.000000
442	0.272636	2332564.000000
443	0.283571	2475320.000000
444	0.290225	2579139.000000
445	0.302924	2716201.000000
446	0.313573	2830170.000000
447	0.324021	2919329.000000
448	0.335226	3041334.000000
449	0.343381	3139560.000000
450	0.355468	2710569.000000
451	0.366002	2823153.000000
452	0.376748	2927961.000000
453	0.386966	3018767.000000
454	0.396589	3162714.000000
455	0.407754	3332300.000000
456	0.416597	3471162.000000
457	0.426855	3580404.000000
458	0.435647	3686255.000000
459	0.440195	3852516.000000
460	0.451303	4149248.000000
461	0.455382	4321290.000000
462	0.464928	4469702.000000
463	0.467751	4562160.000000
464	0.472464	4598601.000000
465	0.479414	4699555.000000
466	0.486668	4817582.000000
467	0.488925	4831900.000000
468	0.495972	4833547.000000
469	0.499490	4797971.000000
470	0.505039	4782731.000000
471	0.508413	4780803.000000
472	0.515451	4789376.000000
473	0.520310	4848880.000000
474	0.523996	4897037.000000
475	0.532399	4971425.000000
476	0.536048	4981468.000000
477	0.540853	4934710.000000
478	0.543498	4890255.000000
479	0.551863	4859445.000000
480	0.553607	4774196.000000
481	0.565511	4811247.000000
482	0.568964	4808767.000000
483	0.577883	4829619.000000
484	0.576356	4874000.000000
485	0.577959	4945273.000000
486	0.586368	4992489.000000
487	0.584239	4983307.000000
488	0.584053	4922519.000000
489	0.596755	4989594.000000
490	0.598311	4944001.000000
491	0.601307	4878946.000000
492	0.606222	4869777.000000
493	0.611767	4851008.000000
494	0.615958	4835482.000000
495	0.612998	4808359.000000
496	0.622801	4848749.000000
497	0.629790	4863924.000000
498	0.628835	4852373.000000
499	0.635509	4866249.000000
500	0.639192	4867807.000000
501	0.647554	4855827.000000
502	0.648828	4809445.000000
503	0.650726	4797144.000000
504	0.651743	4789614.000000
505	0.658618	4807721.000000
506	0.657716	4806392.000000
507	0.663788	4828662.000000
508	0.660159	4797293.000000
509	0.670938	4815936.000000
510	0.671215	4834396.000000
511	0.677420	4849733.000000
512	0.678208	4864483.000000
513	0.676577	4847418.000000
514	0.677852	4827190.000000
515	0.676926	4782914.000000
516	0.682247	4820884.000000
517	0.686006	4815053.000000
518	0.682158	4804077.000000
519	0.691749	4849124.000000
520	0.690469	4837214.000000
