Pixel Coordinates: (1749, 2773)
Rectangular Region Size: 200
Wavelength (nm)	Corrected Transmission	Filter Rect Sum
400	0.055471	371857.000000
401	0.055810	378158.000000
402	0.056140	385693.000000
403	0.056165	391518.000000
404	0.056404	397496.000000
405	0.056599	404224.000000
406	0.058028	415022.000000
407	0.058203	420483.000000
408	0.057988	421726.000000
409	0.057973	426942.000000
410	0.058219	432745.000000
411	0.057664	434676.000000
412	0.057176	437684.000000
413	0.057003	441596.000000
414	0.056828	441881.000000
415	0.056547	440541.000000
416	0.056152	440173.000000
417	0.055007	432726.000000
418	0.054992	434255.000000
419	0.053817	430694.000000
420	0.054066	431412.000000
421	0.053983	433279.000000
422	0.054272	436938.000000
423	0.053951	437633.000000
424	0.054548	441907.000000
425	0.054978	448648.000000
426	0.056432	459133.000000
427	0.057198	467820.000000
428	0.059695	485191.000000
429	0.061082	498941.000000
430	0.063918	520140.000000
431	0.066246	546402.000000
432	0.069641	577855.000000
433	0.072760	605970.000000
434	0.077501	646378.000000
435	0.081907	684831.000000
436	0.086577	728426.000000
437	0.092192	778757.000000
438	0.096722	818513.000000
439	0.102941	874704.000000
440	0.108205	925443.000000
441	0.116130	988444.000000
442	0.123099	1079402.000000
443	0.130681	1169605.000000
444	0.136558	1242610.000000
445	0.145255	1331909.000000
446	0.152301	1406943.000000
447	0.158889	1465561.000000
448	0.165775	1540463.000000
449	0.171742	1608642.000000
450	0.179293	1401070.000000
451	0.185919	1470849.000000
452	0.192654	1535623.000000
453	0.198851	1593244.000000
454	0.205579	1686348.000000
455	0.213750	1795476.000000
456	0.220289	1888908.000000
457	0.227646	1960626.000000
458	0.234366	2036078.000000
459	0.240222	2157370.000000
460	0.250492	2365112.000000
461	0.256194	2496137.000000
462	0.264418	2607653.000000
463	0.268890	2686904.000000
464	0.274703	2737930.000000
465	0.282430	2833739.000000
466	0.290847	2945831.000000
467	0.294773	2981654.000000
468	0.300968	3004507.000000
469	0.305839	3008498.000000
470	0.312109	3027878.000000
471	0.317946	3060308.000000
472	0.326178	3099303.000000
473	0.333085	3173939.000000
474	0.339486	3245759.000000
475	0.349948	3344241.000000
476	0.356772	3395175.000000
477	0.364318	3403869.000000
478	0.369707	3407377.000000
479	0.379057	3419155.000000
480	0.383479	3393368.000000
481	0.395638	3458674.000000
482	0.402002	3495962.000000
483	0.411956	3547688.000000
484	0.414892	3619899.000000
485	0.420308	3710736.000000
486	0.430999	3782068.000000
487	0.432813	3807227.000000
488	0.435698	3789073.000000
489	0.448764	3875188.000000
490	0.452842	3865343.000000
491	0.458409	3839820.000000
492	0.465819	3862457.000000
493	0.473851	3879926.000000
494	0.481110	3901270.000000
495	0.482126	3906389.000000
496	0.493532	3969725.000000
497	0.502251	4009696.000000
498	0.505137	4024697.000000
499	0.514437	4064703.000000
500	0.520978	4091580.000000
501	0.531253	4107126.000000
502	0.535400	4091443.000000
503	0.539959	4103967.000000
504	0.544548	4125486.000000
505	0.553244	4169522.000000
506	0.555696	4196890.000000
507	0.564896	4249138.000000
508	0.564273	4243645.000000
509	0.580769	4318742.000000
510	0.583082	4351657.000000
511	0.591100	4389340.000000
512	0.595027	4427460.000000
513	0.596972	4436016.000000
514	0.601856	4441215.000000
515	0.604795	4420724.000000
516	0.613426	4480798.000000
517	0.620183	4499657.000000
518	0.620863	4514401.000000
519	0.634086	4586950.000000
520	0.636444	4603685.000000
