Pixel Coordinates: (1313, 2597)
Rectangular Region Size: 200
Wavelength (nm)	Corrected Transmission	Filter Rect Sum
400	0.135424	909049.000000
401	0.136055	923192.000000
402	0.136074	937081.000000
403	0.135648	948883.000000
404	0.135986	963385.000000
405	0.136080	978160.000000
406	0.138995	1001115.000000
407	0.139120	1012516.000000
408	0.138798	1016708.000000
409	0.138441	1026825.000000
410	0.138391	1036820.000000
411	0.137061	1041408.000000
412	0.136142	1050704.000000
413	0.136000	1061958.000000
414	0.135405	1061123.000000
415	0.134835	1059117.000000
416	0.134569	1062858.000000
417	0.132096	1046608.000000
418	0.131985	1049941.000000
419	0.129164	1041452.000000
420	0.129891	1043896.000000
421	0.129539	1046728.000000
422	0.129670	1050978.000000
423	0.128149	1046266.000000
424	0.128882	1050182.000000
425	0.129236	1060835.000000
426	0.131174	1073923.000000
427	0.131188	1081296.000000
428	0.134763	1106125.000000
429	0.135908	1122409.000000
430	0.139634	1149427.000000
431	0.141252	1177603.000000
432	0.144566	1211700.000000
433	0.147409	1239187.000000
434	0.152809	1285915.000000
435	0.156824	1322795.000000
436	0.161139	1366839.000000
437	0.166647	1418937.000000
438	0.170865	1456199.000000
439	0.177490	1518967.000000
440	0.182036	1567220.000000
441	0.190237	1629058.000000
442	0.196303	1730461.000000
443	0.203472	1829730.000000
444	0.207897	1901883.000000
445	0.216268	1993104.000000
446	0.222156	2062610.000000
447	0.227773	2111023.000000
448	0.233471	2179413.000000
449	0.237652	2234734.000000
450	0.246748	1937039.000000
451	0.251414	1999325.000000
452	0.257096	2060267.000000
453	0.262329	2114005.000000
454	0.267740	2209722.000000
455	0.273849	2316516.000000
456	0.278242	2404569.000000
457	0.284290	2468710.000000
458	0.289402	2534650.000000
459	0.291791	2642116.000000
460	0.297593	2828951.000000
461	0.299447	2934595.000000
462	0.304895	3023577.000000
463	0.306433	3078282.000000
464	0.309910	3106106.000000
465	0.314694	3173544.000000
466	0.320414	3257297.000000
467	0.322817	3275583.000000
468	0.327491	3280700.000000
469	0.331479	3270336.000000
470	0.336250	3272681.000000
471	0.339931	3285071.000000
472	0.345807	3300659.000000
473	0.349547	3346135.000000
474	0.352990	3390363.000000
475	0.359613	3453215.000000
476	0.363380	3476757.000000
477	0.368846	3463914.000000
478	0.372352	3450429.000000
479	0.379566	3443658.000000
480	0.382679	3401836.000000
481	0.391619	3437153.000000
482	0.395654	3453578.000000
483	0.403048	3483728.000000
484	0.402872	3530648.000000
485	0.404364	3592455.000000
486	0.411628	3639274.000000
487	0.411776	3650046.000000
488	0.413774	3626879.000000
489	0.424094	3688230.000000
490	0.426661	3669632.000000
491	0.430691	3638072.000000
492	0.435153	3643469.000000
493	0.440792	3645051.000000
494	0.445306	3650009.000000
495	0.444995	3645608.000000
496	0.453075	3685829.000000
497	0.458850	3706207.000000
498	0.459667	3706491.000000
499	0.466219	3725302.000000
500	0.470882	3736901.000000
501	0.478790	3740742.000000
502	0.481476	3720236.000000
503	0.483911	3719731.000000
504	0.486426	3725545.000000
505	0.492170	3745398.000000
506	0.492895	3754832.000000
507	0.499044	3784498.000000
508	0.497624	3772227.000000
509	0.508140	3810736.000000
510	0.508557	3826976.000000
511	0.513734	3844153.000000
512	0.515457	3862236.000000
513	0.516521	3862969.000000
514	0.520156	3862200.000000
515	0.522456	3843060.000000
516	0.526637	3876162.000000
517	0.529834	3877936.000000
518	0.527999	3878127.000000
519	0.536031	3920251.000000
520	0.536947	3925839.000000
