Pixel Coordinates: (1245, 1307)
Rectangular Region Size: 300
Wavelength (nm)	Corrected Transmission	Filter Rect Sum
400	0.059990	1038276.000000
401	0.061204	1070588.000000
402	0.062251	1106760.000000
403	0.063532	1147885.000000
404	0.064943	1190706.000000
405	0.066397	1237260.000000
406	0.069411	1298945.000000
407	0.071084	1347591.000000
408	0.072673	1389502.000000
409	0.074506	1443027.000000
410	0.076505	1495219.000000
411	0.077848	1540855.000000
412	0.079378	1594640.000000
413	0.081468	1653611.000000
414	0.083232	1696237.000000
415	0.084903	1734139.000000
416	0.086683	1781016.000000
417	0.087045	1798370.000000
418	0.089199	1851787.000000
419	0.089220	1878476.000000
420	0.091505	1919066.000000
421	0.092859	1959196.000000
422	0.094834	2006342.000000
423	0.095504	2035127.000000
424	0.097411	2072385.000000
425	0.098824	2116291.000000
426	0.101044	2156827.000000
427	0.101491	2180253.000000
428	0.104631	2238121.000000
429	0.105199	2265279.000000
430	0.107212	2305230.000000
431	0.107127	2336226.000000
432	0.108076	2374216.000000
433	0.108234	2388005.000000
434	0.109910	2424635.000000
435	0.109948	2424765.000000
436	0.110022	2434871.000000
437	0.110588	2453330.000000
438	0.109846	2437329.000000
439	0.110774	2464326.000000
440	0.109832	2459516.000000
441	0.111262	2481224.000000
442	0.111753	2555499.000000
443	0.114262	2632761.000000
444	0.115598	2667184.000000
445	0.119367	2754557.000000
446	0.121893	2813232.000000
447	0.123946	2860563.000000
448	0.127532	2943667.000000
449	0.131238	3029320.000000
450	0.128394	2647481.000000
451	0.133751	2789727.000000
452	0.140298	2947241.000000
453	0.147699	3117703.000000
454	0.157097	3392546.000000
455	0.169233	3744352.000000
456	0.181097	4082290.000000
457	0.194027	4400296.000000
458	0.207431	4735975.000000
459	0.227422	5246035.000000
460	0.260852	6021847.000000
461	0.285406	6589723.000000
462	0.307539	7101086.000000
463	0.325021	7504998.000000
464	0.337976	7804053.000000
465	0.356359	8228511.000000
466	0.377249	8711114.000000
467	0.388335	8967000.000000
468	0.397358	9175028.000000
469	0.403573	9318017.000000
470	0.410676	9481443.000000
471	0.420261	9702198.000000
472	0.430693	9942338.000000
473	0.445914	10294030.000000
474	0.459194	10600605.000000
475	0.475551	10978297.000000
476	0.484984	11195697.000000
477	0.488778	11281576.000000
478	0.491463	11341525.000000
479	0.494539	11405629.000000
480	0.492784	11323488.000000
481	0.505986	11558186.000000
482	0.513723	11695862.000000
483	0.526877	11900735.000000
484	0.531880	12155259.000000
485	0.541655	12452160.000000
486	0.552201	12672852.000000
487	0.555410	12757483.000000
488	0.555623	12698013.000000
489	0.571534	13008612.000000
490	0.574349	12973263.000000
491	0.580209	12901650.000000
492	0.587541	12946684.000000
493	0.595802	12980264.000000
494	0.602938	13017658.000000
495	0.603852	13020411.000000
496	0.618251	13212824.000000
497	0.627061	13289277.000000
498	0.628722	13290183.000000
499	0.638304	13365491.000000
500	0.645084	13419619.000000
501	0.655904	13439893.000000
502	0.659596	13380138.000000
503	0.663382	13409575.000000
504	0.667002	13450806.000000
505	0.675574	13544570.000000
506	0.676187	13581823.000000
507	0.684857	13703170.000000
508	0.682712	13649811.000000
509	0.690640	13651846.000000
510	0.694137	13771689.000000
511	0.701854	13849258.000000
512	0.704595	13935748.000000
513	0.704755	13922741.000000
514	0.707686	13894656.000000
515	0.707910	13785185.000000
516	0.714610	13936132.000000
517	0.719252	13950603.000000
518	0.716781	13959231.000000
519	0.730285	14147691.000000
520	0.731628	14159611.000000
