Pixel Coordinates: (533, 2349)
Rectangular Region Size: 200
Wavelength (nm)	Corrected Transmission	Filter Rect Sum
400	0.096446	636242.000000
401	0.096764	645010.000000
402	0.096931	655852.000000
403	0.096599	663629.000000
404	0.096740	672905.000000
405	0.096743	682945.000000
406	0.098863	699438.000000
407	0.098764	706137.000000
408	0.098341	707977.000000
409	0.097786	713102.000000
410	0.097685	719439.000000
411	0.096637	721443.000000
412	0.095896	726649.000000
413	0.095785	733425.000000
414	0.095544	733928.000000
415	0.095114	732527.000000
416	0.094784	734100.000000
417	0.092913	722571.000000
418	0.092768	725173.000000
419	0.090886	720203.000000
420	0.091574	722467.000000
421	0.091350	724650.000000
422	0.091712	729795.000000
423	0.091078	729660.000000
424	0.091855	735199.000000
425	0.092565	746553.000000
426	0.094402	759260.000000
427	0.095218	770337.000000
428	0.098711	794619.000000
429	0.100139	811423.000000
430	0.103568	836607.000000
431	0.105457	863228.000000
432	0.108667	894813.000000
433	0.111390	920156.000000
434	0.115971	958564.000000
435	0.119412	988787.000000
436	0.123205	1026379.000000
437	0.127746	1068774.000000
438	0.131198	1098192.000000
439	0.136160	1145874.000000
440	0.139550	1182072.000000
441	0.145775	1228619.000000
442	0.150168	1303436.000000
443	0.155394	1376397.000000
444	0.158214	1426378.000000
445	0.164283	1491680.000000
446	0.168526	1541230.000000
447	0.172484	1576044.000000
448	0.176197	1622650.000000
449	0.178918	1659298.000000
450	0.186858	1445897.000000
451	0.190385	1492075.000000
452	0.194897	1537482.000000
453	0.198695	1576704.000000
454	0.202539	1647936.000000
455	0.207450	1730180.000000
456	0.211428	1800006.000000
457	0.216310	1852413.000000
458	0.220556	1905787.000000
459	0.222994	1993736.000000
460	0.228166	2142700.000000
461	0.230442	2232159.000000
462	0.235418	2309262.000000
463	0.237641	2360802.000000
464	0.241489	2391968.000000
465	0.246425	2455743.000000
466	0.251848	2533548.000000
467	0.255259	2563095.000000
468	0.260414	2580240.000000
469	0.264827	2583625.000000
470	0.270654	2603363.000000
471	0.275344	2628610.000000
472	0.282422	2661915.000000
473	0.287945	2721796.000000
474	0.293025	2778701.000000
475	0.301208	2853227.000000
476	0.307130	2897316.000000
477	0.314725	2913692.000000
478	0.320909	2929650.000000
479	0.329997	2949406.000000
480	0.335952	2942727.000000
481	0.346617	3001599.000000
482	0.352962	3041606.000000
483	0.362446	3094014.000000
484	0.365883	3165693.000000
485	0.370928	3247994.000000
486	0.380856	3317586.000000
487	0.384107	3353696.000000
488	0.389366	3360391.000000
489	0.401695	3441328.000000
490	0.407403	3451660.000000
491	0.415349	3455388.000000
492	0.423288	3487829.000000
493	0.432418	3517681.000000
494	0.440242	3549919.000000
495	0.443272	3574001.000000
496	0.454108	3634493.000000
497	0.463217	3677387.000000
498	0.467155	3702717.000000
499	0.477213	3746484.000000
500	0.485135	3783106.000000
501	0.496309	3806543.000000
502	0.502209	3808881.000000
503	0.507518	3827996.000000
504	0.512689	3855084.000000
505	0.521118	3893567.000000
506	0.523903	3923538.000000
507	0.532050	3969322.000000
508	0.532576	3973230.000000
509	0.545572	4023196.000000
510	0.547620	4054650.000000
511	0.554309	4084971.000000
512	0.557436	4113916.000000
513	0.560131	4127803.000000
514	0.565319	4137936.000000
515	0.568848	4126605.000000
516	0.574476	4165668.000000
517	0.579966	4176653.000000
518	0.579089	4186109.000000
519	0.588102	4230099.000000
520	0.590311	4242312.000000
