Pixel Coordinates: (1029, 1939)
Rectangular Region Size: 300
Wavelength (nm)	Corrected Transmission	Filter Rect Sum
400	0.140683	2269937.000000
401	0.142012	2315908.000000
402	0.142883	2366783.000000
403	0.143498	2416428.000000
404	0.144525	2468365.000000
405	0.145567	2524733.000000
406	0.150044	2610827.000000
407	0.151365	2664650.000000
408	0.152135	2699384.000000
409	0.153089	2752252.000000
410	0.154710	2809572.000000
411	0.154998	2852672.000000
412	0.155707	2907174.000000
413	0.157261	2966999.000000
414	0.158286	2997126.000000
415	0.159169	3020483.000000
416	0.159914	3051484.000000
417	0.157896	3026128.000000
418	0.158535	3053634.000000
419	0.155619	3039916.000000
420	0.156669	3048229.000000
421	0.155726	3049526.000000
422	0.155341	3051579.000000
423	0.152687	3021215.000000
424	0.152185	3006858.000000
425	0.150923	3003111.000000
426	0.150894	2992644.000000
427	0.148627	2966239.000000
428	0.150086	2982346.000000
429	0.148260	2966015.000000
430	0.148800	2968970.000000
431	0.147004	2972771.000000
432	0.146970	2990234.000000
433	0.146485	2991781.000000
434	0.148452	3033585.000000
435	0.149144	3051242.000000
436	0.150525	3094076.000000
437	0.153288	3160484.000000
438	0.155103	3198884.000000
439	0.159615	3302790.000000
440	0.162733	3388897.000000
441	0.170154	3525391.000000
442	0.176711	3765646.000000
443	0.184834	4016384.000000
444	0.190887	4220101.000000
445	0.201164	4479856.000000
446	0.210106	4709472.000000
447	0.219084	4905916.000000
448	0.228768	5160163.000000
449	0.238037	5396140.000000
450	0.254071	4849842.000000
451	0.264055	5104142.000000
452	0.274960	5352660.000000
453	0.285354	5583539.000000
454	0.295473	5919314.000000
455	0.306592	6294167.000000
456	0.315745	6609099.000000
457	0.325841	6859727.000000
458	0.334581	7102641.000000
459	0.339967	7457326.000000
460	0.349949	7997325.000000
461	0.360869	8315154.000000
462	0.371881	8574333.000000
463	0.379157	8744461.000000
464	0.383413	8842172.000000
465	0.391121	9020536.000000
466	0.399851	9223035.000000
467	0.402547	9284884.000000
468	0.403960	9315275.000000
469	0.403736	9304993.000000
470	0.404979	9320184.000000
471	0.407264	9356143.000000
472	0.411311	9405036.000000
473	0.415726	9519116.000000
474	0.419640	9618495.000000
475	0.425875	9757344.000000
476	0.429113	9809911.000000
477	0.433404	9786868.000000
478	0.437075	9757927.000000
479	0.444424	9741901.000000
480	0.448771	9647457.000000
481	0.457792	9729358.000000
482	0.461554	9762395.000000
483	0.469017	9825974.000000
484	0.466965	9923888.000000
485	0.466718	10048817.000000
486	0.472583	10140472.000000
487	0.472489	10161248.000000
488	0.474854	10104557.000000
489	0.484189	10231448.000000
490	0.486949	10183034.000000
491	0.491961	10114432.000000
492	0.496557	10120679.000000
493	0.502323	10119008.000000
494	0.506718	10121307.000000
495	0.506013	10100968.000000
496	0.514134	10180778.000000
497	0.519642	10208438.000000
498	0.520841	10204056.000000
499	0.527426	10239704.000000
500	0.531966	10260929.000000
501	0.540443	10261885.000000
502	0.544029	10211364.000000
503	0.546168	10201708.000000
504	0.548070	10210870.000000
505	0.553503	10253102.000000
506	0.553519	10273068.000000
507	0.558939	10333898.000000
508	0.557471	10301435.000000
509	0.566285	10352482.000000
510	0.566474	10397811.000000
511	0.571681	10433968.000000
512	0.572995	10471385.000000
513	0.574121	10472527.000000
514	0.577733	10467662.000000
515	0.579681	10417939.000000
516	0.583256	10491070.000000
517	0.586852	10492257.000000
518	0.584696	10491276.000000
519	0.592520	10578905.000000
520	0.593606	10592188.000000
