Pixel Coordinates: (1749, 2773)
Wavelength (nm)	Corrected Transmission	Filter Rect Sum
0,200.00000
400,371857.000000
401,378158.000000
402,385693.000000
403,391518.000000
404,397496.000000
405,404224.000000
406,415022.000000
407,420483.000000
408,421726.000000
409,426942.000000
410,432745.000000
411,434676.000000
412,437684.000000
413,441596.000000
414,441881.000000
415,440541.000000
416,440173.000000
417,432726.000000
418,434255.000000
419,430694.000000
420,431412.000000
421,433279.000000
422,436938.000000
423,437633.000000
424,441907.000000
425,448648.000000
426,459133.000000
427,467820.000000
428,485191.000000
429,498941.000000
430,520140.000000
431,546402.000000
432,577855.000000
433,605970.000000
434,646378.000000
435,684831.000000
436,728426.000000
437,778757.000000
438,818513.000000
439,874704.000000
440,925443.000000
441,988444.000000
442,1079402.000000
443,1169605.000000
444,1242610.000000
445,1331909.000000
446,1406943.000000
447,1465561.000000
448,1540463.000000
449,1608642.000000
450,1401070.000000
451,1470849.000000
452,1535623.000000
453,1593244.000000
454,1686348.000000
455,1795476.000000
456,1888908.000000
457,1960626.000000
458,2036078.000000
459,2157370.000000
460,2365112.000000
461,2496137.000000
462,2607653.000000
463,2686904.000000
464,2737930.000000
465,2833739.000000
466,2945831.000000
467,2981654.000000
468,3004507.000000
469,3008498.000000
470,3027878.000000
471,3060308.000000
472,3099303.000000
473,3173939.000000
474,3245759.000000
475,3344241.000000
476,3395175.000000
477,3403869.000000
478,3407377.000000
479,3419155.000000
480,3393368.000000
481,3458674.000000
482,3495962.000000
483,3547688.000000
484,3619899.000000
485,3710736.000000
486,3782068.000000
487,3807227.000000
488,3789073.000000
489,3875188.000000
490,3865343.000000
491,3839820.000000
492,3862457.000000
493,3879926.000000
494,3901270.000000
495,3906389.000000
496,3969725.000000
497,4009696.000000
498,4024697.000000
499,4064703.000000
500,4091580.000000
501,4107126.000000
502,4091443.000000
503,4103967.000000
504,4125486.000000
505,4169522.000000
506,4196890.000000
507,4249138.000000
508,4243645.000000
509,4318742.000000
510,4351657.000000
511,4389340.000000
512,4427460.000000
513,4436016.000000
514,4441215.000000
515,4420724.000000
516,4480798.000000
517,4499657.000000
518,4514401.000000
519,4586950.000000
520,4603685.000000
